Top 1(#), Top 5(#), Top 10(#), MAP(#), MRR(#), Instances(#), Top 1(%), Top 5(%), Top 10(%), MAP(%), MRR(%)
Mockito::36, 0, 0, 0, 0.22, 0.22, 325, 0.00, 0.00, 0.00, 0.07, 0.07
Chart::25, 0, 0, 0, 0.10, 0.09, 275, 0.00, 0.00, 0.00, 0.04, 0.03
Time::26, 0, 0, 0, 0.00, 0.00, 400, 0.00, 0.00, 0.00, 0.00, 0.00
Time::6, 0, 0, 0, 0.00, 0.00, 400, 0.00, 0.00, 0.00, 0.00, 0.00
Time::20, 0, 0, 0, 0.00, 0.00, 300, 0.00, 0.00, 0.00, 0.00, 0.00
Math::25, 0, 0, 0, 0.00, 0.00, 125, 0.00, 0.00, 0.00, 0.00, 0.00
Lang::23, 0, 0, 0, 0.00, 0.00, 200, 0.00, 0.00, 0.00, 0.00, 0.00
Math::18, 0, 0, 0, 0.00, 0.00, 300, 0.00, 0.00, 0.00, 0.00, 0.00
Time::13, 0, 0, 0, 0.00, 0.00, 300, 0.00, 0.00, 0.00, 0.00, 0.00
Math::12, 0, 0, 0, 0.00, 0.00, 350, 0.00, 0.00, 0.00, 0.00, 0.00
Lang::8, 0, 0, 0, 0.00, 0.00, 325, 0.00, 0.00, 0.00, 0.00, 0.00
Lang::58, 0, 0, 0, 0.00, 0.00, 300, 0.00, 0.00, 0.00, 0.00, 0.00
Math::106, 0, 0, 0, 0.00, 0.00, 150, 0.00, 0.00, 0.00, 0.00, 0.00
Lang::56, 0, 0, 0, 0.00, 0.00, 175, 0.00, 0.00, 0.00, 0.00, 0.00
Math::3, 0, 0, 0, 0.00, 0.00, 300, 0.00, 0.00, 0.00, 0.00, 0.00
Math::4, 0, 0, 0, 0.00, 0.00, 325, 0.00, 0.00, 0.00, 0.00, 0.00
Mockito::31, 0, 0, 0, 0.00, 0.00, 300, 0.00, 0.00, 0.00, 0.00, 0.00
Mockito::30, 0, 0, 0, 0.00, 0.00, 300, 0.00, 0.00, 0.00, 0.00, 0.00
Math::51, 0, 0, 0, 0.00, 0.00, 300, 0.00, 0.00, 0.00, 0.00, 0.00
Mockito::15, 0, 0, 0, 0.00, 0.00, 200, 0.00, 0.00, 0.00, 0.00, 0.00
Lang::13, 0, 0, 0, 0.00, 0.00, 300, 0.00, 0.00, 0.00, 0.00, 0.00
Math::78, 0, 0, 0, 0.00, 0.00, 300, 0.00, 0.00, 0.00, 0.00, 0.00
Mockito::6, 1, 283, 404, 15.74, 112.24, 400, 0.25, 57.00, 57.00, 3.93, 28.06
Lang::48, 1, 2, 2, 4.99, 4.99, 300, 0.33, 0.67, 0.67, 1.66, 1.66
Time::21, 3, 24, 24, 14.82, 11.95, 325, 0.92, 3.69, 3.69, 4.56, 3.68
Math::71, 26, 100, 228, 42.96, 57.71, 325, 8.00, 22.77, 62.15, 13.22, 17.76
Math::66, 48, 135, 309, 30.35, 68.91, 350, 13.71, 38.57, 38.57, 8.67, 19.69
Mockito::35, 57, 147, 183, 33.73, 70.42, 375, 15.20, 28.00, 28.00, 9.00, 18.78
Math::16, 57, 117, 129, 20.28, 60.08, 325, 17.54, 21.23, 21.23, 6.24, 18.49
Mockito::21, 48, 162, 270, 64.18, 59.36, 250, 19.20, 21.60, 36.00, 25.67, 23.75
Chart::16, 127, 476, 476, 140.60, 180.46, 400, 31.75, 56.50, 56.50, 35.15, 45.12
Math::88, 48, 48, 48, 15.34, 48.63, 150, 32.00, 32.00, 32.00, 10.23, 32.42
Mockito::3, 130, 272, 426, 92.60, 135.25, 400, 32.50, 35.50, 37.00, 23.15, 33.81
Time::2, 99, 108, 108, 36.85, 103.85, 300, 33.00, 36.00, 36.00, 12.28, 34.62
Math::55, 108, 108, 108, 109.67, 109.67, 300, 36.00, 36.00, 36.00, 36.56, 36.56
Lang::64, 108, 108, 108, 109.14, 109.14, 300, 36.00, 36.00, 36.00, 36.38, 36.38
Time::17, 108, 540, 540, 108.54, 108.18, 300, 36.00, 36.00, 36.00, 36.18, 36.06
Mockito::11, 117, 117, 117, 61.14, 120.24, 325, 36.00, 36.00, 36.00, 18.81, 37.00
Math::50, 112, 376, 376, 112.94, 145.84, 300, 37.33, 58.67, 58.67, 37.65, 48.61
Math::89, 44, 90, 100, 35.05, 60.10, 100, 44.00, 83.00, 93.00, 35.05, 60.10
Time::3, 179, 685, 946, 50.17, 196.33, 400, 44.75, 56.00, 61.00, 12.54, 49.08
Chart::18, 176, 592, 886, 124.29, 199.79, 375, 46.93, 64.00, 64.00, 33.14, 53.28
Lang::46, 143, 426, 565, 77.75, 157.27, 300, 47.67, 59.67, 59.67, 25.92, 52.42
Math::22, 171, 202, 256, 105.27, 175.76, 325, 52.62, 53.23, 61.85, 32.39, 54.08
Chart::19, 172, 352, 352, 168.12, 175.15, 325, 52.92, 56.62, 56.62, 51.73, 53.89
Math::46, 196, 198, 253, 110.91, 207.91, 325, 60.31, 60.92, 77.85, 34.13, 63.97
Math::91, 192, 384, 384, 193.82, 193.23, 300, 64.00, 64.00, 64.00, 64.61, 64.41
Math::72, 80, 80, 80, 41.59, 80.82, 125, 64.00, 64.00, 64.00, 33.27, 64.66
Lang::63, 80, 160, 320, 21.64, 80.50, 125, 64.00, 64.00, 64.00, 17.31, 64.40
